question,answer,category,keywords,priority
How long does delivery take?,Standard delivery takes 3-7 business days. Express delivery (1-2 days) is available for extra charge at checkout.,Shipping,"delivery,shipping,days,time,arrive,when,how long",10
How can I track my order?,Reply with your Order ID (e.g. ORD-1234) and I will show you the real-time status. You can also check the tracking link sent to your email after dispatch.,Shipping,"track,tracking,where,status,order,locate,find",10
Do you offer free shipping?,Yes! Free standard shipping on all orders above Rs 499. Orders below Rs 499 have a flat Rs 49 shipping fee.,Shipping,"free,shipping,charge,fee,cost,paid",9
What are your dispatch hours?,Orders placed before 2 PM Mon-Sat are dispatched same day. Orders after 2 PM or on Sundays are dispatched the next business day.,Shipping,"dispatch,hours,same day,cut off,time,when",8
Which cities do you deliver to?,We deliver pan-India to all cities and towns. Enter your pincode at checkout to confirm availability in your area.,Shipping,"city,area,pincode,deliver,location,serviceable",7
How do I return a product?,You can return most items within 7 days of delivery. Items must be unused in original packaging with all tags. Initiate return from your order confirmation email.,Returns,"return,refund,exchange,back,cancel,wrong,damaged",10
When will I get my refund?,Refunds are processed within 5-7 business days after we receive and inspect the returned item. Amount is credited to your original payment method.,Returns,"refund,money,credit,back,when,return,processed",10
Can I exchange a product for a different size?,Yes! Size exchanges are free within 7 days of delivery for clothing. Contact support with your order ID and desired size.,Returns,"exchange,size,swap,different,change",9
What if I received a damaged product?,We sincerely apologise! Please share a photo of the damaged item within 48 hours of delivery. We will arrange a free replacement immediately.,Returns,"damaged,broken,defective,wrong,bad,issue",10
Can I cancel my order?,Yes you can cancel before dispatch. Once shipped cancellation is not possible but you can return it after delivery for a full refund.,Returns,"cancel,cancellation,stop,order",9
What payment methods do you accept?,We accept UPI (GPay PhonePe Paytm) credit and debit cards net banking EMI and Cash on Delivery.,Payment,"payment,pay,upi,card,gpay,phonepe,paytm,emi,net banking,method",10
Is Cash on Delivery available?,Yes! COD is available for orders up to Rs 10000. A convenience fee of Rs 40 applies. Pay cash when your order arrives.,Payment,"cod,cash,delivery,pay,hand",9
Is online payment secure?,Absolutely! We use 256-bit SSL encryption and are PCI-DSS compliant. Your card details are never stored on our servers.,Payment,"secure,safe,security,card,online,fraud",8
Do you have EMI options?,Yes! No-cost EMI is available on orders above Rs 3000 on select credit cards including HDFC ICICI SBI Axis and Kotak. Choose at checkout.,Payment,"emi,installment,no cost,monthly,credit",9
Can I pay with UPI?,Yes! We support all UPI apps including Google Pay PhonePe Paytm BHIM and more. Select UPI at checkout and scan or enter your UPI ID.,Payment,"upi,gpay,google pay,phonepe,paytm,bhim,scan",8
Are products on your store genuine?,Yes! All products are 100% genuine sourced directly from brand authorised distributors. We offer brand warranty on all electronics.,Availability,"genuine,original,authentic,fake,real,brand",10
Is a product available in my area?,We ship pan-India. Enter your pincode at checkout to confirm delivery availability in your location.,Availability,"available,pincode,city,deliver,area,near me,location",8
How do I check stock availability?,Product pages show real-time stock. If something is out of stock tap Notify Me in the bot and we will WhatsApp you when it restocks.,Availability,"stock,available,out of stock,notify,restock,when",9
Do products come with a warranty?,Electronics come with standard manufacturer warranty (usually 1 year). Extended warranty is available at checkout for select products.,Availability,"warranty,guarantee,repair,brand,defect,service",8
What is your return policy?,We offer a 7-day hassle-free return policy for most products. Items must be unused with original tags and packaging. Electronics must be unopened for returns.,Returns,"return,policy,days,rule,condition",9
How do I contact customer support?,You can type your issue here and I will help! For complex issues type 4 to connect with a human agent or email support@shopbot.in,Availability,"contact,support,human,agent,help,email,call",7
